Product Name,Revenue,demand,initial_inventory
"Racing Socks, L",9,11203,26830.0
"Racing Socks, M",9,13153,31290.0
Road Bottle Cage,9,55493,132370.0
Road Tire Tube,4,86092,206010.0
"Road-150 Red, 44",3578,1055,4290.0
"Road-150 Red, 48",3578,1635,6620.0
"Road-150 Red, 52",3578,1729,7190.0
"Road-150 Red, 56",3578,1723,7110.0
"Road-150 Red, 62",3578,2071,8340.0
"Road-250 Black, 44",2443,925,3640.0
"Road-250 Black, 48",2443,720,2820.0
"Road-250 Black, 52",2443,1275,5040.0
"Road-250 Black, 58",2443,927,3640.0
"Road-250 Red, 44",2443,435,1770.0
"Road-250 Red, 48",2443,802,3240.0
"Road-250 Red, 52",2443,421,1670.0
"Road-250 Red, 58",2443,1006,4050.0
"Road-350-W Yellow, 40",1701,989,4000.0
"Road-350-W Yellow, 42",1701,1230,4930.0
"Road-350-W Yellow, 44",1701,691,2740.0
"Road-350-W Yellow, 48",1701,1287,5100.0
"Road-550-W Yellow, 38",1120,992,3960.0
"Road-550-W Yellow, 40",1120,990,4090.0
"Road-550-W Yellow, 42",1120,1234,4930.0
"Road-550-W Yellow, 44",1120,1190,4830.0
"Road-550-W Yellow, 48",1120,1061,4230.0
"Road-650 Black, 44",783,214,860.0
"Road-650 Black, 48",783,222,930.0
"Road-650 Black, 52",783,233,1010.0
"Road-650 Black, 58",783,311,1260.0
"Road-650 Black, 60",783,262,1080.0
"Road-650 Black, 62",783,308,1290.0
"Road-650 Red, 44",783,212,870.0
"Road-650 Red, 48",783,524,2140.0
"Road-650 Red, 52",783,87,330.0
"Road-650 Red, 58",783,296,1220.0
"Road-650 Red, 60",783,267,1140.0
"Road-650 Red, 62",783,433,1730.0
"Road-750 Black, 44",540,1742,6940.0
"Road-750 Black, 48",540,2228,9060.0
"Road-750 Black, 52",540,1496,5920.0
"Road-750 Black, 58",540,858,3490.0
"Short-Sleeve Classic Jersey, L",54,14417,34740.0
"Short-Sleeve Classic Jersey, M",54,12688,30190.0
"Short-Sleeve Classic Jersey, S",54,15914,38400.0
"Short-Sleeve Classic Jersey, XL",54,12709,30750.0
"Sport-100 Helmet, Black",35,85884,205670.0
"Sport-100 Helmet, Blue",35,77306,185050.0
"Sport-100 Helmet, Red",35,88132,210430.0
Touring Tire,29,14126,33750.0
Touring Tire Tube,5,78591,187710.0
"Touring-1000 Blue, 46",2384,704,3040.0
"Touring-1000 Blue, 50",2384,525,2260.0
"Touring-1000 Blue, 54",2384,513,2220.0
"Touring-1000 Blue, 60",2384,489,2060.0
"Touring-1000 Yellow, 46",2384,594,2540.0
"Touring-1000 Yellow, 50",2384,773,3200.0
"Touring-1000 Yellow, 54",2384,552,2380.0
"Touring-1000 Yellow, 60",2384,634,2820.0
"Touring-2000 Blue, 46",1215,445,2000.0
"Touring-2000 Blue, 50",1215,485,2120.0
"Touring-2000 Blue, 54",1215,302,1340.0
"Touring-2000 Blue, 60",1215,356,1560.0
"Touring-3000 Blue, 44",742,226,960.0
"Touring-3000 Blue, 50",742,131,580.0
"Touring-3000 Blue, 54",742,171,740.0
"Touring-3000 Blue, 58",742,260,1120.0
"Touring-3000 Blue, 62",742,239,1000.0
"Touring-3000 Yellow, 44",742,309,1360.0
"Touring-3000 Yellow, 50",742,276,1140.0
"Touring-3000 Yellow, 54",742,271,1160.0
"Touring-3000 Yellow, 58",742,189,840.0
"Touring-3000 Yellow, 62",742,158,720.0
Water Bottle - 30 oz.,5,227018,542000.0
"Women's Mountain Shorts, L",70,10594,25330.0
"Women's Mountain Shorts, M",70,14242,33970.0
"Women's Mountain Shorts, S",70,12853,30600.0
